id,fidelidade,sexo,idade,atendimento,sortimento,acessibilidade,preço
114,nao,feminino,31,3,1,2,3
115,nao,feminino,35,2,3,1,4
116,nao,feminino,31,3,1,2,3
117,nao,feminino,34,4,1,3,1
118,nao,feminino,34,2,3,3,1
119,nao,feminino,34,3,2,5,4
120,nao,feminino,32,4,3,3,5
121,nao,feminino,34,2,4,3,5
122,nao,feminino,34,3,5,1,3
123,nao,feminino,35,4,3,4,2
124,nao,feminino,34,4,4,3,3
125,nao,masculino,34,2,2,3,3
126,nao,feminino,34,1,5,3,3
127,nao,feminino,31,4,3,1,3
128,nao,feminino,34,4,4,1,4
129,nao,feminino,34,4,1,3,1
130,nao,feminino,34,4,4,1,4
131,nao,feminino,34,2,4,1,4
132,nao,feminino,34,5,1,1,3
133,nao,masculino,34,1,1,4,1
134,nao,feminino,34,5,1,4,2
135,nao,feminino,34,5,1,4,2
136,nao,feminino,29,4,1,3,3
137,nao,feminino,30,4,3,5,4
138,nao,feminino,34,4,1,3,3
139,nao,feminino,34,1,5,3,3
140,nao,feminino,34,4,3,1,4
141,nao,feminino,34,2,2,1,1
142,nao,feminino,34,3,2,3,3
143,nao,feminino,34,5,1,1,3
144,nao,feminino,33,4,1,5,4
145,nao,feminino,34,4,3,1,4
146,nao,feminino,34,4,4,3,3
147,nao,masculino,34,1,1,4,1
148,nao,feminino,34,3,2,3,3
149,nao,feminino,34,2,4,3,5
150,nao,feminino,31,2,3,3,3
151,nao,masculino,34,1,4,2,3
152,nao,feminino,35,4,3,4,2
153,nao,feminino,31,4,3,1,3
154,nao,feminino,34,4,1,3,1
155,nao,feminino,34,3,2,3,3
156,nao,feminino,34,4,3,1,4
157,nao,feminino,34,4,3,3,3
158,nao,feminino,34,1,5,3,3
159,nao,feminino,35,3,2,3,3
160,nao,feminino,31,2,3,3,3
161,nao,feminino,34,3,2,3,3
162,nao,feminino,30,4,3,5,4
163,nao,masculino,34,3,2,4,2
164,nao,feminino,31,4,3,1,3
165,nao,feminino,34,3,2,3,3
166,nao,feminino,34,4,4,3,3
167,nao,feminino,29,4,1,3,3
168,nao,feminino,34,3,2,3,3
169,nao,masculino,34,5,1,3,3
170,nao,feminino,34,3,2,5,4
171,nao,feminino,34,4,3,1,4
172,nao,feminino,34,4,1,1,2
173,nao,feminino,32,1,3,1,4
174,nao,feminino,29,4,1,3,3
175,nao,feminino,34,4,1,3,1
176,nao,feminino,29,4,1,3,3
177,nao,feminino,31,4,3,1,3
178,nao,feminino,34,4,3,1,4
179,nao,feminino,31,3,1,2,3
180,nao,feminino,34,4,1,3,3
181,nao,feminino,34,4,3,1,2
182,nao,masculino,34,5,1,3,3
183,nao,feminino,34,3,2,3,3
184,nao,feminino,34,4,3,3,3
185,nao,feminino,34,3,2,3,3
186,nao,feminino,34,4,1,1,2
187,nao,feminino,31,3,1,2,3
188,nao,feminino,31,3,1,2,3
189,nao,feminino,34,4,3,3,3
190,nao,feminino,35,4,3,4,2
191,nao,feminino,33,4,1,5,4
192,nao,feminino,34,3,2,5,4
193,nao,feminino,31,2,3,3,3
194,nao,feminino,31,4,3,1,3
195,nao,feminino,34,4,3,1,2
196,nao,masculino,34,3,2,4,2
197,nao,feminino,34,4,1,3,1
198,nao,feminino,34,2,3,3,3
199,nao,feminino,31,3,1,2,3
200,nao,feminino,34,2,2,1,1
201,nao,masculino,34,1,4,2,3
202,nao,feminino,35,4,3,4,2
203,nao,feminino,35,2,3,1,4
204,nao,feminino,34,4,1,1,2
205,nao,feminino,29,4,1,3,3
206,nao,masculino,34,2,2,3,3
207,nao,feminino,34,4,1,3,1
208,nao,feminino,34,3,2,5,4
209,nao,feminino,34,4,4,1,4
210,nao,masculino,34,2,2,3,3
211,nao,feminino,34,1,5,3,3
212,nao,feminino,34,3,2,5,4
213,nao,masculino,34,5,1,3,3
214,nao,feminino,30,4,3,5,4
215,nao,masculino,34,3,2,4,2
216,nao,feminino,34,4,3,3,3
217,nao,feminino,34,4,3,1,2
218,nao,feminino,31,4,3,1,3
219,nao,feminino,35,2,3,1,4
220,nao,feminino,34,2,4,1,4
221,nao,masculino,34,1,4,2,3
222,nao,feminino,34,4,3,1,4
223,nao,feminino,34,5,1,1,3
224,nao,feminino,31,2,3,3,3
225,nao,feminino,31,3,1,2,3
226,nao,feminino,34,4,3,1,4
227,nao,feminino,34,3,2,3,3
228,nao,feminino,34,4,3,1,4
229,nao,masculino,34,1,1,4,1
230,nao,feminino,31,3,1,2,3
231,nao,feminino,34,3,2,3,3
232,nao,feminino,31,4,3,1,3
233,nao,feminino,34,2,4,1,4
234,nao,feminino,32,1,3,1,4
235,nao,masculino,34,2,2,3,3
236,nao,feminino,34,4,3,3,3
237,nao,feminino,32,4,3,3,5
238,nao,feminino,34,4,1,3,1
239,nao,feminino,29,4,1,3,3
240,nao,feminino,34,4,4,1,4
241,nao,feminino,34,3,2,3,3
242,nao,feminino,34,4,3,1,4
243,nao,feminino,35,4,3,4,2
244,nao,feminino,34,1,5,3,3
245,nao,feminino,34,2,4,3,5
246,nao,feminino,34,1,5,3,3
247,nao,feminino,34,4,3,3,3
248,nao,feminino,34,3,2,3,3
249,nao,feminino,34,3,2,3,3
250,nao,feminino,34,4,1,3,1
251,nao,feminino,34,4,1,3,1
252,nao,feminino,34,1,5,3,3
253,nao,feminino,31,2,3,3,3
254,nao,masculino,34,1,1,4,1
255,nao,feminino,35,2,3,1,4
256,nao,feminino,34,5,1,1,3
257,nao,feminino,35,4,3,4,2
258,nao,masculino,34,5,1,3,3
259,nao,feminino,35,4,3,4,2
260,nao,feminino,34,3,2,3,3
261,nao,feminino,34,3,2,3,3
262,nao,feminino,34,4,3,1,4
263,nao,feminino,34,4,1,1,2
264,nao,feminino,35,2,3,1,4
265,nao,feminino,29,4,1,3,3
266,nao,feminino,34,3,2,3,3
267,nao,masculino,34,2,2,3,3
268,nao,feminino,31,2,3,3,3
269,nao,feminino,31,4,3,1,3
270,nao,feminino,34,4,1,1,2
271,nao,masculino,34,5,1,3,3
272,nao,feminino,34,4,1,3,3
273,nao,feminino,34,3,2,3,3
274,nao,masculino,34,3,2,4,2
275,nao,feminino,34,1,5,3,3
276,nao,feminino,34,3,2,3,3
277,nao,feminino,34,4,1,3,1
278,nao,feminino,35,4,3,4,2
279,nao,masculino,34,1,1,4,1
280,nao,feminino,34,4,4,3,3
281,nao,feminino,34,3,2,3,3
282,nao,feminino,34,4,4,3,3
283,nao,feminino,32,1,3,1,4
284,nao,feminino,30,4,3,5,4
285,nao,feminino,34,4,3,5,1
286,nao,feminino,34,4,1,3,1
287,nao,feminino,34,4,3,1,2
288,nao,feminino,34,4,3,1,2
289,nao,feminino,34,4,4,3,3
290,nao,masculino,34,3,2,4,2
291,nao,feminino,34,4,3,3,3
292,nao,feminino,34,2,3,3,3
293,nao,feminino,35,3,2,3,3
294,nao,feminino,31,2,3,3,3
295,nao,feminino,34,2,3,3,1
296,nao,feminino,31,4,3,1,3
297,nao,feminino,35,4,3,4,2
298,nao,feminino,34,4,4,3,3
299,nao,masculino,34,5,1,3,3
300,nao,feminino,29,4,1,3,3
301,nao,feminino,34,4,3,3,3
302,nao,feminino,34,3,2,1,4
303,nao,feminino,33,4,1,5,4
304,nao,masculino,34,3,2,4,2
305,nao,feminino,34,4,3,1,4
306,nao,feminino,35,2,3,1,4
307,nao,feminino,35,3,2,3,3
308,nao,feminino,34,4,3,1,2
309,nao,feminino,34,4,1,3,3
310,nao,feminino,34,3,2,1,4
311,nao,feminino,32,1,3,1,4
312,nao,feminino,31,3,1,2,3
313,nao,feminino,34,3,2,3,3
314,nao,feminino,34,4,3,3,3
315,nao,feminino,32,4,3,3,5
316,nao,feminino,35,2,3,1,4
317,nao,feminino,34,3,2,3,3
318,nao,masculino,34,1,1,4,1
319,nao,feminino,34,4,1,1,2
320,nao,masculino,34,5,1,3,3
321,nao,feminino,34,3,2,3,3
322,nao,feminino,34,4,3,5,1
323,nao,feminino,34,4,4,3,3
324,nao,feminino,33,4,1,5,4
325,nao,feminino,34,2,4,1,4
326,nao,feminino,34,4,3,1,4
327,nao,feminino,34,4,3,1,2
328,nao,feminino,33,4,1,5,4
329,nao,feminino,34,2,3,3,3
330,nao,feminino,34,3,2,3,3
331,nao,feminino,34,3,2,3,3
332,nao,feminino,34,2,2,1,1
333,nao,feminino,34,5,1,4,2
334,nao,feminino,34,3,2,3,3
335,nao,feminino,34,4,3,1,4
336,nao,feminino,34,4,1,3,1
337,nao,feminino,34,3,2,1,4
338,nao,feminino,33,4,1,5,4
339,nao,feminino,34,4,3,5,1
340,nao,feminino,34,3,2,3,3
341,nao,feminino,34,4,1,3,3
342,nao,feminino,34,3,2,3,3
343,nao,feminino,33,4,1,5,4
344,nao,masculino,34,5,1,3,3
345,nao,masculino,34,1,4,2,3
346,nao,feminino,34,2,2,1,1
347,nao,masculino,34,2,2,3,3
348,nao,feminino,35,2,3,1,4
349,nao,feminino,34,4,1,3,1
350,nao,feminino,34,4,4,1,4
351,nao,feminino,34,4,4,3,3
352,nao,feminino,34,3,2,3,3
353,nao,feminino,34,4,3,3,3
354,nao,feminino,32,1,3,1,4
355,nao,feminino,31,2,3,3,3
356,nao,feminino,32,1,3,1,4
357,nao,feminino,31,3,1,2,3
358,nao,masculino,34,5,1,3,3
359,nao,masculino,34,1,1,4,1
360,nao,feminino,34,3,2,3,3
361,nao,feminino,34,2,3,3,1
362,nao,feminino,34,2,2,1,1
363,nao,feminino,34,3,2,5,4
364,nao,masculino,34,5,1,3,3
365,nao,feminino,32,1,3,1,4
366,nao,feminino,35,2,3,1,4
367,nao,feminino,29,4,1,3,3
368,nao,feminino,35,4,3,4,2
369,nao,feminino,34,2,4,1,4
370,nao,feminino,34,4,4,1,4
371,nao,feminino,34,2,3,3,1
372,nao,feminino,34,2,3,3,1
373,nao,feminino,34,4,4,1,4
374,nao,feminino,34,4,3,1,4
375,nao,feminino,34,2,2,1,1
376,nao,masculino,34,1,4,2,3
377,nao,feminino,34,4,1,1,2
378,nao,feminino,35,3,2,3,3
379,nao,masculino,34,3,2,4,2
380,nao,feminino,34,4,4,3,3
381,nao,feminino,32,4,3,3,5
382,nao,feminino,34,4,3,3,3
383,nao,feminino,29,4,1,3,3
384,nao,feminino,34,3,2,3,3
385,nao,feminino,34,4,1,1,2
386,nao,feminino,34,3,5,1,3
387,nao,feminino,34,1,5,3,3
388,nao,masculino,34,3,2,4,2
389,nao,feminino,34,4,4,1,4
390,nao,feminino,34,4,3,5,1
391,nao,feminino,34,4,3,1,2
392,nao,feminino,34,4,3,1,4
393,nao,feminino,34,4,4,3,3
394,nao,feminino,35,3,2,3,3
395,nao,masculino,34,2,2,3,3
396,nao,feminino,34,3,2,3,3
397,nao,feminino,34,3,2,3,3
398,nao,feminino,34,4,3,5,1
399,nao,feminino,34,4,3,1,2
400,nao,feminino,32,1,3,1,4
401,nao,feminino,34,3,2,3,3
402,nao,feminino,33,4,1,5,4
403,nao,feminino,34,4,4,3,3
404,nao,feminino,32,1,3,1,4
405,nao,feminino,34,4,3,5,1
406,nao,feminino,35,3,2,3,3
407,nao,feminino,35,2,3,1,4
408,nao,masculino,34,1,4,2,3
409,nao,masculino,34,2,2,3,3
410,nao,feminino,31,3,1,2,3
411,nao,feminino,35,2,3,1,4
412,nao,feminino,31,3,1,2,3
413,nao,feminino,32,4,3,3,5
414,nao,feminino,34,4,4,3,3
415,nao,feminino,34,4,1,1,2
416,nao,feminino,34,1,5,3,3
417,nao,feminino,34,3,5,1,3
418,nao,feminino,34,2,4,1,4
419,nao,feminino,31,4,3,1,3
420,nao,feminino,34,4,4,1,4
421,nao,feminino,34,4,1,3,1
422,nao,feminino,34,2,2,1,1
423,nao,feminino,34,3,2,5,4
424,nao,feminino,30,4,3,5,4
425,nao,feminino,34,4,3,5,1
426,nao,feminino,34,1,5,3,3
427,nao,masculino,34,1,4,2,3
428,nao,feminino,34,2,4,3,5
429,nao,feminino,30,4,3,5,4
430,nao,feminino,34,3,2,3,3
431,nao,feminino,31,4,3,1,3
432,nao,feminino,34,4,3,1,4
433,nao,feminino,34,4,3,1,4
434,nao,feminino,34,3,2,3,3
435,nao,feminino,34,2,4,3,5
436,nao,feminino,34,5,1,4,2
437,nao,feminino,34,4,3,3,3
438,nao,masculino,34,5,1,3,3
439,nao,feminino,34,3,2,3,3
440,nao,feminino,29,4,1,3,3
441,nao,masculino,34,1,1,4,1
442,nao,feminino,35,3,2,3,3
443,nao,feminino,34,5,1,1,3
444,nao,feminino,34,4,1,1,2
445,nao,feminino,34,3,2,1,4
446,nao,feminino,31,2,3,3,3
447,nao,feminino,34,3,2,5,4
448,nao,masculino,34,2,2,3,3
449,nao,feminino,34,3,2,3,3
450,nao,feminino,34,3,2,3,3
451,nao,feminino,34,3,2,3,3
452,nao,feminino,34,3,2,3,3
453,nao,feminino,31,3,1,2,3
454,nao,feminino,34,4,1,3,3
455,nao,feminino,34,3,2,3,3
456,nao,feminino,34,4,4,3,3
457,nao,feminino,35,2,3,1,4
458,nao,feminino,31,2,3,3,3
459,nao,masculino,34,1,1,4,1
460,nao,feminino,34,3,2,3,3
461,nao,feminino,34,5,1,4,2
462,nao,masculino,34,3,2,4,2
463,nao,feminino,34,4,3,3,3
464,nao,feminino,32,4,3,3,5
465,nao,feminino,34,4,4,3,3
466,nao,feminino,34,4,4,3,3
467,nao,feminino,32,4,3,3,5
468,nao,feminino,34,3,2,3,3
469,nao,feminino,34,3,5,1,3
470,nao,feminino,34,2,3,3,3
471,nao,feminino,34,5,1,1,3
472,nao,feminino,34,3,5,1,3
473,nao,feminino,33,4,1,5,4
474,nao,feminino,34,3,2,1,4
475,nao,feminino,34,3,2,5,4
476,nao,feminino,34,4,3,5,1
477,nao,feminino,34,4,3,3,3
478,nao,feminino,34,3,2,3,3
479,nao,feminino,34,4,1,3,3
480,nao,feminino,34,4,4,1,4
481,nao,feminino,35,2,3,1,4
482,nao,feminino,34,4,3,3,3
483,nao,feminino,34,4,1,1,2
484,nao,feminino,34,2,4,1,4
485,nao,feminino,34,3,2,3,3
486,nao,feminino,34,2,3,3,3
487,nao,feminino,34,4,3,3,3
488,nao,feminino,31,3,1,2,3
489,nao,masculino,34,1,4,2,3
490,nao,feminino,34,4,4,3,3
491,nao,feminino,34,4,1,3,1
492,nao,feminino,34,4,1,3,3
493,nao,feminino,34,2,4,1,4
494,nao,feminino,34,4,3,5,1
495,nao,masculino,34,1,4,2,3
496,nao,feminino,34,3,2,3,3
497,nao,feminino,34,5,1,4,2
498,nao,feminino,35,2,3,1,4
499,nao,feminino,34,3,2,5,4
500,nao,feminino,34,4,1,3,3
501,nao,feminino,34,3,2,3,3
502,nao,feminino,34,4,4,1,4
503,nao,feminino,34,3,2,3,3
504,nao,masculino,34,1,4,2,3
505,nao,feminino,34,4,1,1,2
506,nao,feminino,34,4,1,1,2
507,nao,feminino,34,5,1,1,3
508,nao,feminino,34,4,3,1,2
509,nao,feminino,34,3,2,3,3
510,nao,feminino,29,4,1,3,3
511,nao,feminino,34,1,5,3,3
512,nao,feminino,34,4,3,3,3
513,nao,feminino,35,4,3,4,2
514,nao,feminino,33,4,1,5,4
515,nao,masculino,34,3,2,4,2
516,nao,feminino,34,4,4,3,3
517,nao,masculino,34,5,1,3,3
518,nao,feminino,34,3,5,1,3
519,nao,feminino,34,3,2,3,3
520,nao,feminino,34,4,3,1,2
521,nao,feminino,34,3,2,3,3
522,nao,masculino,34,2,2,3,3
523,nao,feminino,34,4,4,3,3
524,nao,masculino,34,3,2,4,2
525,nao,masculino,34,1,4,2,3
526,nao,feminino,34,4,4,3,3
527,nao,feminino,34,1,5,3,3
528,nao,feminino,34,5,1,1,3
529,nao,feminino,35,2,3,1,4
530,nao,feminino,30,4,3,5,4
531,nao,masculino,34,5,1,3,3
532,nao,feminino,34,3,2,5,4
533,nao,feminino,35,2,3,1,4
534,nao,feminino,29,4,1,3,3
535,nao,feminino,32,4,3,3,5
536,nao,feminino,34,4,3,1,2
537,nao,feminino,34,3,5,1,3
538,nao,feminino,31,3,1,2,3
539,nao,feminino,34,2,3,3,1
540,nao,feminino,34,2,2,1,1
541,nao,feminino,31,2,3,3,3
542,nao,feminino,34,2,2,1,1
543,nao,feminino,31,4,3,1,3
544,nao,feminino,34,1,5,3,3
545,nao,masculino,34,5,1,3,3
546,nao,feminino,31,4,3,1,3
547,nao,masculino,34,3,2,4,2
548,nao,masculino,34,2,2,3,3
549,nao,feminino,33,4,1,5,4
550,nao,feminino,34,4,4,1,4
551,nao,feminino,34,4,3,3,3
552,nao,masculino,34,1,4,2,3
553,nao,feminino,35,4,3,4,2
554,nao,feminino,35,3,2,3,3
555,nao,feminino,32,4,3,3,5
556,nao,feminino,34,4,3,1,2
557,nao,feminino,30,4,3,5,4
558,nao,masculino,34,1,4,2,3
559,nao,feminino,34,4,3,1,4
560,nao,feminino,34,2,4,1,4
561,nao,feminino,34,4,3,3,3
562,nao,feminino,34,2,4,1,4
563,nao,feminino,34,2,3,3,1
564,nao,feminino,34,2,4,1,4
565,nao,feminino,34,4,3,1,4
566,nao,masculino,34,3,2,4,2
567,nao,feminino,34,4,4,3,3
568,nao,feminino,34,4,1,3,1
569,nao,feminino,34,4,3,1,2
570,nao,feminino,35,2,3,1,4
571,nao,feminino,32,4,3,3,5
572,nao,feminino,34,4,4,3,3
573,nao,feminino,34,4,3,1,4
574,nao,feminino,34,4,3,3,3
575,nao,feminino,30,4,3,5,4
576,nao,feminino,35,4,3,4,2
577,nao,feminino,34,4,4,1,4
578,nao,feminino,34,4,3,1,4
579,nao,feminino,34,4,1,1,2
580,nao,feminino,34,2,2,1,1
581,nao,feminino,34,3,2,3,3
582,nao,feminino,31,3,1,2,3
583,nao,feminino,34,3,2,3,3
584,nao,feminino,30,4,3,5,4
585,nao,feminino,31,3,1,2,3
586,nao,feminino,32,4,3,3,5
587,nao,feminino,34,2,4,1,4
588,nao,feminino,34,4,3,1,2
589,nao,feminino,35,4,3,4,2
590,nao,feminino,34,1,5,3,3
591,nao,feminino,35,4,3,4,2
592,nao,feminino,34,4,4,3,3
593,nao,feminino,34,4,3,3,3
594,nao,feminino,34,4,3,5,1
595,nao,masculino,34,3,2,4,2
596,nao,feminino,34,4,1,3,1
597,nao,feminino,30,4,3,5,4
598,nao,feminino,34,4,3,3,3
599,nao,feminino,34,2,2,1,1
600,nao,feminino,34,2,4,3,5
601,nao,feminino,31,4,3,1,3
602,nao,feminino,34,4,3,3,3
603,nao,feminino,34,2,3,3,3
604,nao,feminino,30,4,3,5,4
605,nao,feminino,34,4,1,3,3
606,nao,feminino,34,4,3,3,3
607,nao,feminino,34,2,4,1,4
608,nao,masculino,34,2,2,3,3
609,nao,feminino,34,3,2,3,3
610,nao,feminino,34,4,3,1,4
611,nao,feminino,34,3,2,5,4
612,nao,feminino,35,3,2,3,3
613,nao,feminino,34,2,4,3,5
614,nao,feminino,31,4,3,1,3
615,nao,feminino,30,4,3,5,4
616,nao,feminino,34,5,1,1,3
617,nao,feminino,34,2,4,1,4
618,nao,feminino,34,4,4,3,3
619,nao,feminino,31,4,3,1,3
620,nao,feminino,34,5,1,1,3
621,nao,feminino,32,4,3,3,5
622,nao,feminino,34,3,5,1,3
623,nao,feminino,34,2,3,3,1
624,nao,feminino,34,2,3,3,1
625,nao,feminino,32,1,3,1,4
626,nao,masculino,34,3,2,4,2
627,nao,feminino,32,1,3,1,4
628,nao,feminino,34,2,3,3,3
629,nao,feminino,35,4,3,4,2
630,nao,feminino,34,4,3,5,1
631,nao,feminino,34,2,4,3,5
632,nao,feminino,34,3,2,3,3
633,nao,feminino,29,4,1,3,3
634,nao,feminino,35,4,3,4,2
635,nao,feminino,34,3,2,3,3
636,nao,feminino,31,2,3,3,3
637,nao,masculino,34,5,1,3,3
638,nao,feminino,29,4,1,3,3
639,nao,feminino,34,3,2,3,3
640,nao,masculino,34,1,1,4,1
641,nao,feminino,32,4,3,3,5
642,nao,feminino,30,4,3,5,4
643,nao,feminino,31,2,3,3,3
644,nao,masculino,34,1,4,2,3
645,nao,feminino,34,3,2,1,4
646,nao,feminino,34,4,3,1,4
647,nao,feminino,35,2,3,1,4
648,nao,feminino,34,3,2,3,3
649,nao,feminino,34,4,4,1,4
650,nao,feminino,34,1,5,3,3
651,nao,masculino,34,5,1,3,3
652,nao,feminino,34,4,1,3,1
653,nao,feminino,34,3,2,1,4
654,nao,feminino,34,3,2,1,4
655,nao,feminino,34,2,3,3,1
656,nao,masculino,34,1,4,2,3
657,nao,feminino,34,4,4,3,3
658,nao,feminino,34,4,1,3,3
659,nao,feminino,34,2,2,1,1
660,nao,feminino,35,4,3,4,2
661,nao,feminino,35,2,3,1,4
662,nao,masculino,34,3,2,4,2
663,nao,feminino,34,5,1,4,2
664,nao,feminino,34,3,2,3,3
665,nao,feminino,34,4,3,3,3
666,nao,feminino,34,4,1,3,3
667,nao,feminino,30,4,3,5,4
668,nao,feminino,32,4,3,3,5
669,nao,feminino,31,2,3,3,3
670,nao,feminino,34,3,2,5,4
671,nao,feminino,34,4,1,3,3
672,nao,feminino,34,3,2,3,3
673,nao,masculino,34,3,2,4,2
674,nao,masculino,34,1,1,4,1
675,nao,feminino,34,5,1,4,2
676,nao,feminino,34,4,3,1,4
677,nao,feminino,34,3,2,3,3
678,nao,feminino,34,4,4,3,3
679,nao,feminino,31,4,3,1,3
680,nao,feminino,33,4,1,5,4
681,nao,masculino,34,5,1,3,3
682,nao,feminino,34,2,2,1,1
683,nao,feminino,34,5,1,1,3
684,nao,feminino,34,4,3,1,2
685,nao,feminino,34,4,4,3,3
686,nao,feminino,34,2,3,3,3
687,nao,feminino,31,2,3,3,3
688,nao,feminino,34,3,2,3,3
689,nao,masculino,34,2,2,3,3
690,nao,feminino,34,5,1,4,2
691,nao,feminino,34,2,3,3,3
692,nao,feminino,32,1,3,1,4
693,nao,feminino,34,3,2,3,3
694,nao,masculino,34,5,1,3,3
695,nao,feminino,34,4,3,3,3
696,nao,feminino,34,2,2,1,1
697,nao,masculino,34,3,2,4,2
698,nao,feminino,34,2,4,3,5
699,nao,feminino,34,2,4,3,5
700,nao,feminino,34,2,4,1,4
701,nao,feminino,34,3,2,3,3
702,nao,feminino,34,4,3,3,3
703,nao,masculino,34,5,1,3,3
704,nao,feminino,34,4,3,3,3
705,nao,feminino,34,3,2,3,3
706,nao,feminino,34,4,3,5,1
707,nao,feminino,34,4,3,1,4
708,nao,feminino,34,4,3,3,3
709,nao,feminino,34,2,4,1,4
710,nao,feminino,34,3,2,3,3
711,nao,feminino,34,2,2,1,1
712,nao,feminino,34,2,2,1,1
713,nao,feminino,34,4,1,1,2
714,nao,feminino,34,4,4,1,4
715,nao,feminino,34,4,1,1,2
716,nao,feminino,34,5,1,4,2
717,nao,feminino,34,4,1,3,3
718,nao,feminino,34,3,2,3,3
719,nao,feminino,34,4,3,5,1
720,nao,feminino,34,3,5,1,3
721,nao,feminino,33,4,1,5,4
722,nao,feminino,34,3,5,1,3
723,nao,feminino,32,1,3,1,4
724,nao,feminino,33,4,1,5,4
725,nao,feminino,34,4,3,1,4
726,nao,feminino,31,3,1,2,3
727,nao,masculino,34,1,4,2,3
728,nao,feminino,33,4,1,5,4
729,nao,feminino,35,4,3,4,2
730,nao,feminino,34,3,2,3,3
731,nao,feminino,32,1,3,1,4
732,nao,feminino,35,2,3,1,4
733,nao,feminino,34,3,2,3,3
